FacultyArea,InstitutionType,ReviewText,AverageRating,Sentiment
Biyoloji,lise,"Biyolojiyi sevmemi sağlayan hoca. Sınav ve ödevlerde zorlardı, otoriterdi, dersi çok iyi anlatırdı, adildi. Birisi 0.5 puan vermedi falan yazmış. N'aptın da vermedi. Tamam sınavda falan zorlardı ama hak edene hak etiğini verirdi. Yiğidi öldür, hakkını yeme. Sınavda zorlamasaydı da ezber sorsa öğrenemezdik.",1.0,0.0
Tarih,lise,Çok seviyorum. Asla sizi unutamayacağım hocam. :),4.6,1.0
Türk Dili ve Edebiyatı,lise,"Alıştığınız ilkokul anlatım tarzından uzak şekilde öğretiyor. Söylediklerinin derinliğini anlayamayan, sarkastik tarzının altında aslında ne ile dalga geçtiğini fark etmeden kendi üstüne alınanlar onu sevmez. Geniş düşünün ve kıymetini bilin. Dersine girerken aklınızı açmadan defterinizi açmayın.",1.73,0.0
Hukuk Fakültesi,üniversite,"Peri Hoca, Yalova Üniversitesi Hukuk Fakültesi öğretim üyesidir. Derslerinde yoklama almadığı halde amfide boş yer kalmaz. Derse hakimiyeti ve öğrenci dostu yaklaşımıyla birinci sınıfların “İyi ki hukuk yazmışız” demesine neden olan hocadır. Yurtdışında olmasına rağmen emailimi yanıtsız bırakmamıştır",4.0,1.0
Mühendislik Fakültesi,üniversite,"2005-2010 yıllarında dersini aldım. O dönemde en iyi eğitimi veren hocaydı. Tamam zor bir insandır, özellikle prosedür dışına çıkmayı sevmez, kuralcıdır. Ama her zaman yardıma hazırdır. Egosuz, saatlerce seni dinler, elinden gelen desteği sunar. Yıllar sonra bile saygı ve sevgiyle hatırlarım.",3.13,
Fen Edebiyat Fakültesi,üniversite,"Korkunç! Başka tanımlayacak kelime bulamadım gerçekten. Bu tarz insanların ders vermesine acilen engel olunmalı çünkü eğitimcilik zihniyetinden, mantığından uzak, üniversiteyi ve öğrencilerin hayatlarını oyuncak gibi gören ve bundan haz duyduğunu düşündüğüm bir hoca...",1.67,0.0
Matematik,lise,Hayatınızı değiştirebilecek sayılı öğretmenlerden birisidir kendileri. Üniversiteye hazırlıkta Türkiye'nin 1 numaralı hocası.,4.0,1.0
Biyoloji,lise,İki sene oldu ama hala bana 0.5 puan vermeyip kızlara vermesi ve benim dersten kalmam unutulamaz. Allah'ından bulsun. Herif beni biyolojiye küstürdü. Sırf şunun için TM'ye geçecektim.,1.0,0.0
Matematik,lise,Gerçekten sizin cennetin en iyi köşesini hak ettiğinizi düşünüyorum. Siz bir meleksiniz...,4.6,1.0
Felsefe,lise,Felsefe anlatımı konusunda üzerine söylenecek söz yoktur. Çeşitli ders materyallerini bolca kullanır ama konu akıllı tahtalara gelince ortadan ikiye ayrılsa bile imaj atarak sorunu çözebilir.,4.7,1.0
Matematik,lise,Zaytisgelt derdi RahmetLee Allah sahbet eylesin mekanik center olsun.,1.9,0.0
Bilişim Teknolojileri,lise,"Çok iyi hocadır, bilgilidir.",5.0,1.0
Almanca,lise,TOLL LEHRERİN SUPER.,4.2,1.0
Almanca,lise,Almanca çok zor.,4.2,1.0
Türk Dili ve Edebiyatı,lise,Sınavlar zor.,4.6,1.0
Türk Dili ve Edebiyatı,lise,Çok iyi bir hoca.,4.6,1.0
Matematik,lise,İyi.,2.6,
İngilizce,lise,"Çok iyi, çok zeki, çok güzel, tecrübeli, eğlenceli, harika bir öğretmen.",5.0,1.0
İngilizce,lise,en sevdiğimiz hocamız çokkk iyi biri çok tecrübeli güler yüzlü çok çok çok seviyoruz. <3,4.9,1.0
İngilizce,lise,Çok iyi bir hoca.,5.0,1.0
İngilizce,lise,Çok iyi bir hoca. Allah herkese versin.,4.9,1.0
Mühendislik Mimarlık Fakültesi,üniversite,"Ders anlatımı net, düzenli ve anlaşılırdır. Dersinde notunu alan, sorusunu çözen rahatça dersini verebilir. Ama hocamız bazen öğrencilerin sorularını saçma bulup sinirlenebiliyor. O yüzden sorularınıza dikkat etmenizi öneririm.",3.7,1.0
Mühendislik Mimarlık Fakültesi,üniversite,"Çok sakin ders anlatan ve bilgili hocalarımızdan birisidir. Çok fazla arkasından elestirildiğini duyduğum halde hocamızın gayet iyi ve anlaşılır bir şekilde dersini anlattığını net bir şekilde söyleyebilirim, dersini alan öğrencilere yardımcı olan bir hocamızdır. Yalnız Teknik İngilizce dersi çok geç bitiyor.",3.5,
Mühendislik Mimarlık Fakültesi,üniversite,"Dersini iyi anlatan, konusunda uzman ve başarılı bir hocamızdır kendisi. Malzeme dersinden geçmek kolaydır. Ama pek dakik olduğunu söyleyemiyorum.",3.8,1.0
Mühendislik Mimarlık Fakültesi,üniversite,"Kendisinden MMG alan öğrencileri kampüste Makine Mühendisliği adına faydalı olacak faaliyetlerde bulundurmuş, bilgin, sıcakkanlı, öğrenci dostu ve daha pek çok özelliğe sahip hocamız. Sadece teorik değil uygulama da yaptırdığı için dersinin çok verimli geçtiğini düşünüyorum.",3.93,1.0
Mühendislik Mimarlık Fakültesi,üniversite,"Bölüm başkanımız ve verdiği bir dersi olan Calculus'u ile ünlü değerli bir hocamızdır. Kendisi çok düzenli, dakik ve işini seven bir insandır. Dersi kaçırmayan, iyi dinleyen, işini bilen öğrenci iyi bir harf notuyla dersi verir. Bunları yapmayanlar ise hocaya karşı kötü duygular ile dolar.",2.33,0.0
Fizik,lise,Çok iyi bir hoca olduğunuz için teşekkürler.,5.0,1.0
Mühendislik Mimarlık Fakültesi,üniversite,"Hayatınızda görüp görebileceğiniz en güzel yürekli, en tatlı, en çalışkan, en naif hocadır. ♥️ Tüm öğrencileri evlattır onun için, öyle değer verir, ilgilenir ve sahip çıkar. Hiç yorulmuyor gibi sonsuz bir enerji ve sabır ile tüm öğrencilerinin manevî annesi haline gelir... İyi ki var hayatımızda ♥️",5.0,1.0
Beden Eğitimi,lise,Kendisinden yıllar önce ders aldım.,1.0,0.0
Mühendislik Fakültesi,üniversite,Great teacher in nuclear physics and in digital electronic too. I have taken both of them. I advise everyone to take them. We have learnt a lot of things. Thank you so much. We really appreciate your efforts with us.,4.36,1.0
Mühendislik Fakültesi,üniversite,Hocam size aşırı bir hayranlık ve saygı duymakla birlikte ısıya karşı hiçbir hayranlığım ve sevgim yok. Saygılar.,3.4,
Kimya,lise,Hocam mükemmelsiniz.,3.3,
Biyoloji,lise,"BİSMİLLAHİRAHMANİRHARİM. Sen, arkadaki oğlum, tahtaya kalk. Aferin şimdi bi kız kaldır. Gönüllü bir erkek arıyorum. SEN GÖNÜLLÜSÜN. Kapıyı açın, içeri tuvalet kokusu gelsin. Camları aç, toprak nefes alamıyor. Sil o anlamsız tetratı. Sen ortada oturan, kalk tahtaya, özellikleri saymaya başla. Tamam, şimdi bir kız.",4.6,1.0
Fizik,lise,"Dinle, dinle, sonra yazarsın. Dinle, buraya bak, bekle bekle, şimdi bu tanecikler birbirlerine yumruk atıyor. Ne yapıyormuş? Yumruk atıyormuş. Sonra yangın tüpleri var. Oralarda kullanılıyor bu gazlar ama bundan sonrası matematik. Tabi sizin matematiğiniz kötü olduğu için bu kımı yapmanız zor ama deefter.",1.6,0.0
Almanca,lise,Almanca dersini çok iyi anlatıyor. Dersini sevdiren bir öğretmen. Aşırı tatlı ve sevecen. <3,4.84,1.0
Coğrafya,lise,İyi bir öğremen. Dersi çok güzel anlatıyor. Bence en iyi coğrafya öğretmeni. En kafa dengi öğretmenlerimizden. Çoook tatlı ve çoook iyi. <3,4.65,1.0
Coğrafya,lise,"Dışardan sert görünse de çok tatlı ve sıcakkanlı. Ön yargıyla yaklaşmayın, göreceksiniz. Dersi de çok güzel ve anlaşılır anlatıyor. <3<3<3 
Not: Hocam bunu görüyorsanız seviliyorsunuz...",4.65,1.0
Almanca,lise,Almanca'yı en anlaşılır şekilde anlatıyor ve çok tatlı bir öğretmen. <3<3,4.84,1.0
Almanca,lise,Hayatımda gördüğüm en tatlı hoca. Size dersi sevdiriyor ve mükemmel birisi.,4.84,1.0
Coğrafya,lise,Hem çok tatlı hem de çok iyi ders anlatıyor.,4.65,1.0
Matematik,lise,Mükemmel bir matematik hocası.,3.3,
İngilizce Hazırlık Bölümü,üniversite,"Ders anlatımı, akışı ve dersin verimliliği oldukça iyi. Ders içerisinde öğrencileri sıkmıyor ve anlaşılabilirlik açısından sıkıntı yaşamıyoruz. Donanımlı bir hoca.",4.47,1.0
Matematik,lise,"Tam 20 sene oldu Akıncı Lise'den mezun olalı, eğitim hayatımdan hafızalarımda yer eden yegane, çok değerli hocam. Öğrencilere farklı yaklaşan, sevecen -bu durumu öğrencilerin suistimal edip saygısızlık etmeyi asla düşünmediği herşeyin en güzelini hakeden hocam. Herşey gönlünüzce olsun.",5.0,1.0
Yabancı Diller Yüksekokulu,üniversite,Londra hikayeleri çok sıkıcı ama Fransızca konuşunca derste ağzınıza düşecez hocam ya.,3.4,
Türk Dili ve Edebiyatı,lise,"Dersleri asla sıkıcı geçmeyen, öğrencileriyle samimi bir iletişimi olan ve onlara bir şeyler katma çabasında olan hocamız, iyi ki var. Kazandığı kalpler ona yeter. Rabbim hayırlarını artırsın.",4.6,1.0
Matematik,lise,Sen bir meleksin.,4.6,1.0
İngilizce,lise,Tanıdığım en etkili İngilizce öğretmeni.,5.0,1.0
Eğitim Fakültesi,üniversite,Öğretmenliğe bakış açımı şekillendirmedeki katkılarını ömrüm boyunca unutabileceğimi sanmıyorum. Teşekkürler.,2.8,
Eğitim Fakültesi,üniversite,"İlk akademik çalışmalarımı yapmamda oldukça cesaretlendirici rolü oldu. Hep güler yüzlü ve yardımsever kişiliğinin yanı sıra, ders anlatımındaki sadelik de oldukça değerliydi. Teşekkürler Kürşat hocam.",5.0,1.0
İngilizce,lise,Dünyanın en iyi kalpli insanı.,5.0,1.0
İngilizce,lise,Beton yetmez.,5.0,1.0
İngilizce,lise,We don't şuur.,1.0,0.0
Eğitim Fakültesi,üniversite,"Bir insanın anlatımı ancak bu kadar net ve anlaşılır olur, nokta.",4.2,1.0
Eğitim Fakültesi,üniversite,Tez yazım aşamasında donanımlı olmak ve nicel analiz yapabilmek istiyorsanız kesinlikle Nihat Hoca'nın dersini almalısınız. Akademik başarınıza katkısı çok olacaktır.,4.2,1.0
Yabancı Diller Yüksekokulu,üniversite,"Akademik derslerin yanı sıra hayat dersleriyle dolu bir sunumu var. Örnek alınası bir öğretici. Şu anda Eğitim Fakültesi, Eğitim Bilimleri Bölümünde.",4.6,1.0
Fen Edebiyat Fakültesi,üniversite,Orta Sakarya Vadisi'nin gülü.,1.8,0.0
Fen Edebiyat Fakültesi,üniversite,"He de ikigözüm. 
Herşey bi kar tanesiyle başladı.
Makale makinası maşallah her dönem bir makale.",3.5,
Türk Dili ve Edebiyatı,lise,Sevdiğimiz hocamızdı. Saygılar.,5.0,1.0
Hukuk Fakültesi,üniversite,"Yaz okulunda kamu maliyesi dersi almistim ve çoğu cikmaz dedigi yeri sormuş ve cogu kisiyi 1 puan ile bırakmıştı ve ders anlatirken sadece slayt okur ve slayti da vermez, fotoğraf cekin der. Burasi cikmaz diyip soru sorar. Dersi akicidir. Arada şakalar yapar.",4.31,1.0
Matematik,lise,"Hayatımda tanıdığım en iyi hocaların başında gelir. Her türlü muhabbetin saracağı, kafa dengi bir hoca. Burada size puan vermek ne haddime. Eğer google'da kendinizi aratırsınız ve bu yazıyla karşılaşırsınız diye yazıyorum. Kazım Çiçek, size sesleniyorum. Sizi tanıdığıma aşırı memnunun. Teşekkür ederim.",4.2,1.0
Fizik,lise,Kendisi hoş bir insan değil. Rütbe artınca bozdu. Hazırmış demek.,1.0,0.0
Türk Dili ve Edebiyatı,lise,"Kendisi etrafa sürekli pozitif enerji saçan bir öğretmenimizdir. Ondan hiç negatif bir şey işitmezsiniz ve kalbi çok saftır, asla kötülük içermez. Birşey yapmadan böyle hayran bırakan bir öğretmenin dersi sıkıcı ve boş geçer mi? (Ayrıca öğretmenin hafızası 10 ciltlik kitap gibi tükenmek bilmiyor sanki)",4.8,1.0
İngilizce Hazırlık Bölümü,üniversite,"Ders anlatımı, çabası ve bununla gelen sürekli kattıkları.. Çok sevdiğim bir hocamdır. Özellikle telaffuzlarıyla İngilizce'yi sevmeme yardımcı olmuştur. İyi ki de olmuştur.",4.47,1.0
Matematik,lise,Teşekkürler Metin hocam. Bu sene sizin sayenizde matematiğim çok daha gelişti. Sizi öğretmenlik alanında  kutlarım.,5.0,1.0
Kimya,lise,"Ego sahibi, kibirli, kendini zeki zanneden bir insandır. Eğitim anlamında kimya adına 1-2 şey öğrenirsiniz belki ama öğretim adına ciddi zaafiyetleri vardır.",1.5,0.0
İngilizce,lise,Efsane bir hoca.,3.6,1.0
Tarih,lise,Özlenilen öğretmenlerden.,4.87,1.0
Tarih,lise,Adam gibi adam.,4.87,1.0
Tarih,lise,"Lise hayatımdaki en sevdiğim, en saygı duyduğum hocalarımdandır. Adamsınız. :)",4.87,1.0
Resim,lise,"Dünyanın en şeker, en tatlı, en en en ponçik öğretmeni. Sanat tarihi dersimize girmesiyle dersi sevdirdi ve üniversitede sanat tarihi okumaktayım. Gülümsemesi bile gününüzün güzel geçmesine sebep. Nur Taşlıçuk",5.0,1.0
İngilizce,lise,"Öyle severim ki Cenk Hoca'yı, adeta bir baba gibidir. Hayatta unutulmayacak bir insandır kendisi. Derse gelmediği gün olduysa eğer ki sadece bir gün hatırlıyorum onda da boş yapmak yerine ders çalışmışlığımız vardır. Muazzam insan, ilgili bir hoca. Benim için bir hocadan daha fazla, babadır. Nur Taşlıçuk",5.0,1.0
Mühendislik Mimarlık Fakültesi,üniversite,Hayatımda gördüğüm eğitim alanında en başarısız hocadır kendileri. Dersi sıkıcı ve verimsiz geçer. Sınavları zor değil ama derse gelmek bile işkenceye dönüşüyor.,1.4,0.0
Felsefe,lise,"Kıymetli Seher Hocam psikoloji okumaya başlamama vesile oldu. İlk kez farkındalık kelimesini hocamın ağzından duydum. Şimdi elinde farkındalık ve kabullenme temelli terapiler kitabı olan bir ACT Terapistiyim.
Kıymetli Seher Hocam, öğretmenlik ışığınız daim olsun. Sevgilerimle ve hürmetle...",3.8,1.0
Kimya,lise,Reyhan hocam bu zamana kadar gördüğüm en iyi hocalardan biri. Ders anlatımından kişiliğine kadar çok iyi bir kişi. Bana kattığı şeylerden ötürü hocama çok teşekkür ediyorum.,4.6,1.0
Fizik,lise,"Hocam Eyüp Otakcılar Lisesi'nden öğrencinizdim ve sayeniz de Fizik dersini çok sevmiştim. Size hayranlığım hala aynı. 2 üniversite okudum. Sizden öğrendiğim fizikle, Yıldız Teknik Üniversitesi fizik sınav notuma arkadaşlarım hayran kalmıştı ve bende sizi anlatmıştım. Ece GÜLGEN",1.0,0.0
Matematik,lise,"Adam gibi adam, gerçek matematiğe hoşgeldiniz ibaresi ile bizi büyülüyor ve ufkumuzu açıyor. Müsteşarla olan samimi anısını dinlemeyen çok şey kaybeder. Tanıdığım en zeki matematikçilerden birisi. Parti kursun, oy verelim. Ayrancı Sizi Çok Seviyor <3",4.0,1.0
Fen Edebiyat Fakültesi,üniversite,"Çok hanımefendi ve iyi, yardımsever bir hoca. Okul adına iyi bir kazanım.",3.8,1.0
Fen Edebiyat Fakültesi,üniversite,"Kendini bilime vermiş, idealist bir hoca. Yoklama almaz ama buna çok önem verir. İyi bir hoca ve iyi bir insan. Moduna girerseniz derste de faydalı olur.",2.5,
Fen Edebiyat Fakültesi,üniversite,"Altın kalpli, çok iyi bir hoca. Yıldız'a gitti. Okul için çok gerekliydi aslında. Sınavları zordur ama iyi niyetli ve çok kişilikli bir hocadır.",3.4,
Fen Fakültesi,üniversite,Gelmiş geçmiş en iyi fizikçilerden.,5.0,1.0
Biyoloji,lise,"Çok takdir ediyorum. Başarılarının devamını diliyorum en içtenliğimle. Kendisine sonsuz sevgiler diliyorum.

hi-selam@outlook.com",5.0,1.0
Müzik,lise,Adam gibi adamdır. Mükemmeldir.,5.0,1.0
Kimya,lise,Dakiklik diye bir ölçüt olsaydı 5 verirdik. Kendisinin Alman olmasından şüpheleniyoruz. Disiplin göbek adıdır.,2.87,
Tarih,lise,Adam gibi adamdır.,5.0,1.0
Din Kültürü ve Ahlak Bilgisi,lise,Esprileri mükemmeldir.,3.6,1.0
Türk Dili ve Edebiyatı,lise,Mükemmel.,4.6,1.0
Fizik,lise,Esen fizikten ders işler ama sınavlarına Musa Özdemir girse yapamaz.,4.2,1.0
Fizik,lise,Kendisi aslında çok iyi bir hocadır ama yaptığı soğuk esprilerden dolayı bazı öğrenciler tarafından antipati kazanmıştır. Ayrıca Dr. Bülent GÜL olması lazım.,3.4,
Matematik,lise,Çok iyi bir hocadır. Kendisini çok severiz. Kraldır.,3.73,1.0
Kimya,lise,Kendisi 10 numara 5 yıldız bir adamdır. Hayatımda tanıdığım en mükemmel hocadan ziyade en mükemmel insanlardan biridir. Onu sevmeyen öğrenci yoktur. Kendisini çok sever ve selamlarız.,5.0,1.0
Matematik,lise,"Kendisi çok iyi bir insandır. Çok yardımseverdir. Fakat ders anlatışında konuyu dağıtması, arada bize kızması ve tevhidi tedrisatı uygulaması hoş karşılanmıyor. Ayrıca sınavlarda hiç puan vermez.",2.13,0.0
Biyoloji,lise,Kendisi sevdiğimiz bir hocamızdır. Akademik hayatı gayet başarılıdır. Kendisi adam gibi adamdır.,4.0,1.0
İngilizce,lise,"Dünyada gördüğüm en iyi, en güzel, en unique hocamsınız. 31-12-2018 (yılbaşı günü) 
DOĞUKAN GENÇ
YASİN AYKÜL",5.0,1.0
Meslek Yüksekokulu,üniversite,Çok yapmacık ve itici bir kadın. Yıllardır nesillerin ömrünü çürüttü böyle. Kendini bir şey sanıyor. Asla sevemeyeceğim insanlardan bir tanesi.,1.0,0.0
Hukuk Fakültesi,üniversite,Gerçekten bölümle ilgili bilgimiz olmasa da bize anlatımıyla daha önce görmediğimiz ders konusunda başarılı olmamızı sağlamıştır. Sadece ders videolarını dinleyip dersi anlayabilmemizi sağladığı için teşekkürler.,4.31,1.0
İngilizce Hazırlık Bölümü,üniversite,"Başar Hoca'dan çok memnunum. Gerek dersi anlatışı, gerekse bilgisini aktarması, her şey çok keyifli ve güzel. Sayesinde İngilizce dersini sevdim. Umarım bahar döneminde de ondan ders alma şansım olur.",4.47,1.0
Mühendislik ve Mimarlık Fakültesi,üniversite,"Hoca çok ukala ve egoist. Hava atıp duruyor, öğrencilere değer vermiyor. Soru sorunca ""neden yardım edeyim?"" diyor. Sınavlarda anlatmadığı yerleri soruyor. Problemli galiba biraz. Bilgisi de yok gibi gözüküyor.",3.48,
Almanca,lise,Keşke daha çok gezi olsa da siz götürseniz. Ich möchte ausflug.,5.0,1.0
İngilizce,lise,Profiterollerle dolu bir dünya dileği ile eğer ben de Bürkan'sam.,3.0,
Yabancı Diller Yüksekokulu,üniversite,"Fransızca'yı sevmemi sağlayan ve klasik bir ders anlatımından çok, kısa zamanda iyi öğreten yani verimli ders işleyen bir hoca. Teşekkür ederim çok.",3.4,
İngilizce Hazırlık Bölümü,üniversite,Sebepsiz laf sokma çabalarında olmasa çok iyi bir öğretmen ❤️,4.47,1.0
İngilizce Hazırlık Bölümü,üniversite,Başar ılı. Eheheheh.,4.47,1.0
İngilizce Hazırlık Bölümü,üniversite,Öğretmenimiz hepimizle ayrı ayrı alakadar oluyor. Eksiklerimiz varsa tamamlamamıza yardımcı oluyor. Hocamızdan oldukça memnunuz.,4.47,1.0
Almanca,lise,"50 yaşına gelmiş, tahminimce yaşı dolayısıyla ders anlatımı zayıflamış, sinirleri bozuk bir hoca. Kendisini seven bir öğrenciye henüz rastlamadım. Derslerinde öğrencilerin rezil olma korkusundan, sorulara kimse el kaldırmaz, olası bir yanlış cevapta kafanıza kitap, tebeşir yiyip kovulabilirsiniz.Tehlikeli.",1.0,0.0
Kimya,lise,"Her dersinden keyif aldığım, mesleğini tutkuyla yapan ve her yönüyle örnek bir öğretmendir. Hakkını ödeyemem. Mükemmel insan.",4.4,1.0
Felsefe,lise,"Öğrencileri tarafından sevilen, sempatik, esprili ve bunun yanı sıra kurallara önem veren efsanevi öğretmendir, öğretmenimizdir.",4.5,1.0
Biyoloji,lise,Allah rahmet etsin.,5.0,1.0
Matematik,lise,Dünyanın en iyi kalpli öğretmeni.,4.4,1.0
Matematik,lise,"Toplama, çıkarmada üstüne yok. Helal olsun.",5.0,1.0
Tarih,lise,Mükkemmel tek kelime ile.,5.0,1.0
Türk Dili ve Edebiyatı,lise,"Bu ne yav, böyle hoca mı olur?",1.0,0.0
Kimya,lise,Ders kitabına ihtiyacı yok çünkü adam kendi ders kitabını kendi yapıyor. Helal olsun. İnşallah Harvard Üniversitesi'nden davet gelir. http://irfanyamak06.weebly.com/hayalim.html,2.85,
Coğrafya,lise,dünyanın en mükemmel hocası. :] Bize kendini annemizmişcesine hissettirebiliyor. :),4.73,1.0
Coğrafya,lise,Dünyada gördüğüm en iyi hocalardan biri. :) Dersini rahatlıkla anlayabiliyoruz. İyi ki tanımışız. :),4.73,1.0
Fizik,lise,"Battal Hoca mesleğini her yönüyle eksiksiz icra eden bir eğitmendir. Dersine hakimiyeti, öğrencileriyle iletişimi hep üst düzeyde olmuştur. Ahlaki değerler yönünden de ondan çok şey öğrendiğimi söylemeliyim. Ne mutlu ki Battal Hoca'nın öğrencisi olabilmişim.",4.4,1.0
Biyoloji,lise,"Alanında çok başarılı bir şahsiyet. Öğretmenliğinin yanı sıra tüm öğrencileri için eşsiz bir insan, aydın bir yol gösterici.",5.0,1.0
Eğitim Fakültesi,üniversite,"Bugüne kadar aldığım eğitim ve öğretim yılı içerisinde gördüğüm en sayılı, en değerli, en merhametli ve en cana yakın hocalardan biri olur kendisi. Dobra ve disiplinli oluşu onu özel kılan ayrı bir durum. :) Onu çok seviyorum, saygılarımla....♥️",4.6,1.0
İngilizce,lise,20. yüzyıl metodlarıyla cezalandırmasa ve Bilkent mezunu olmayı en büyük vasfı saymasa İngilizce bilgisinden belki yararlanılabilecek hoca.,1.2,0.0
Fizik,lise,Hocam sizi çok seviyorum. Çok tatlısınız.,5.0,1.0
Fen Edebiyat Fakültesi,üniversite,"Kendini öğretmeye adamış değerli bir bilim insanıdır.
İşinin hakkını verir. Öğrencilerine hiçbir konuda yardımını esirgemez. Vefat ettiğini öğrendik. Derin üzüntü içerisindeyiz.",4.8,1.0
Felsefe,lise,Valla bu adamı çok severim ama ne anlattığı konusunda hiç bir fikrim yok.,1.0,0.0
Matematik,lise,"Bu hayatta karşılaşacağınız en yardımsever, en anaç insandır kendisi. Bana matematiği sevdiren insan asla öğrenci kayırmaz. Örnek karakter, örnek hocadır. Allah sizden razı olsun hocam, sizi seviyorum.",5.0,1.0
İngilizce,lise,Yani İngilizce'den nasıl nefret ettirdi bilmiyorum. Öğretmen olmuş olmasına ama tam anlamıyla bir öğretmen olabilmek için egoist olmamalk ve öğrenci kayırmaması gerekiyor. Etiler Lisesi'nde okuduğum 4 yıl boyunca en çok nefret ettiğim insandır.,1.0,0.0
Fizik,lise,Ali Rıza Hoca ile derse girerseniz 18 dk sonra beyniniz yanmaya başlayacaktır. Ancak korkmanıza gerek yok çünkü daha 10. dakikada size bir şeyler soracak ve bilemeyeceksiniz. Bunun için de korkmanıza gerek yok çünkü ARŞ'niz yok.,4.6,1.0
Din Kültürü ve Ahlak Bilgisi,lise,Adem Hoca aynı zamanda müdür yardımcılığı da yapmaktadır. Aktepe Lisesi'ni ayakta tutan nadir insanlardandır. Yüze şaplak hareketiyle meşhurdur.,3.8,1.0
Beden Eğitimi,lise,Genellikle öğrencileri dövmesiyle bilinir. Eğer öğrenci ters bir hareket yaparsa ya da canı sıkılırsa öğrencinin sırtına vurmasıyla meşhurdur. Kız veya erkek hiç fark etmez.,2.2,0.0
Tarih,lise,Tam bir milliyetçi Türk kadını. Otoriteye sahip. Öğrencilerin ona ayrı bir saygısı var. Ders anlatımı güzel.,4.8,1.0
