FacultyArea,InstitutionType,AverageRating,Kolaylık,Anlaşılırlık,DersAnlatımı,Erişilebilirlik,Yardımseverlik,ReviewText,Sentiment
Coğrafya,lise,3.8,3.5,3,4,3.5,5,Otur kalk yapmaktan beynim ağırıyordu. :( Deve cüce oynattığınız için sağolun hocam.,1.0
Felsefe,lise,3.3,3,3,3,3.5,4,"Mükemmel bir öğretmen, çok çalışkan, her zaman bize rehberlik yaptı ve bize değerli olduğumuzu hissettirdi. Bugun bir meslek sahibi isem onun sayesinde.",
Biyoloji,lise,1.0,1,1,1,1,1,"Biyolojiyi sevmemi sağlayan hoca. Sınav ve ödevlerde zorlardı, otoriterdi, dersi çok iyi anlatırdı, adildi. Birisi 0.5 puan vermedi falan yazmış. N'aptın da vermedi. Tamam sınavda falan zorlardı ama hak edene hak etiğini verirdi. Yiğidi öldür, hakkını yeme. Sınavda zorlamasaydı da ezber sorsa öğrenemezdik.",0.0
Tarih,lise,4.6,3,5,5,5,5,Çok seviyorum. Asla sizi unutamayacağım hocam. :),1.0
Türk Dili ve Edebiyatı,lise,1.73,2.33,1.67,1.33,1.33,2,"Alıştığınız ilkokul anlatım tarzından uzak şekilde öğretiyor. Söylediklerinin derinliğini anlayamayan, sarkastik tarzının altında aslında ne ile dalga geçtiğini fark etmeden kendi üstüne alınanlar onu sevmez. Geniş düşünün ve kıymetini bilin. Dersine girerken aklınızı açmadan defterinizi açmayın.",0.0
Hukuk Fakültesi,üniversite,4.0,2,5,5,3,5,"Peri Hoca, Yalova Üniversitesi Hukuk Fakültesi öğretim üyesidir. Derslerinde yoklama almadığı halde amfide boş yer kalmaz. Derse hakimiyeti ve öğrenci dostu yaklaşımıyla birinci sınıfların “İyi ki hukuk yazmışız” demesine neden olan hocadır. Yurtdışında olmasına rağmen emailimi yanıtsız bırakmamıştır",1.0
Mühendislik Fakültesi,üniversite,3.13,2.33,3,4.67,3.33,2.33,"2005-2010 yıllarında dersini aldım. O dönemde en iyi eğitimi veren hocaydı. Tamam zor bir insandır, özellikle prosedür dışına çıkmayı sevmez, kuralcıdır. Ama her zaman yardıma hazırdır. Egosuz, saatlerce seni dinler, elinden gelen desteği sunar. Yıllar sonra bile saygı ve sevgiyle hatırlarım.",
Fen Edebiyat Fakültesi,üniversite,1.67,1.33,1,2,2.67,1.33,"Korkunç! Başka tanımlayacak kelime bulamadım gerçekten. Bu tarz insanların ders vermesine acilen engel olunmalı çünkü eğitimcilik zihniyetinden, mantığından uzak, üniversiteyi ve öğrencilerin hayatlarını oyuncak gibi gören ve bundan haz duyduğunu düşündüğüm bir hoca...",0.0
Matematik,lise,4.0,2,5,5,3,5,Hayatınızı değiştirebilecek sayılı öğretmenlerden birisidir kendileri. Üniversiteye hazırlıkta Türkiye'nin 1 numaralı hocası.,1.0
Biyoloji,lise,1.0,1,1,1,1,1,İki sene oldu ama hala bana 0.5 puan vermeyip kızlara vermesi ve benim dersten kalmam unutulamaz. Allah'ından bulsun. Herif beni biyolojiye küstürdü. Sırf şunun için TM'ye geçecektim.,0.0
Matematik,lise,4.6,3,5,5,5,5,Gerçekten sizin cennetin en iyi köşesini hak ettiğinizi düşünüyorum. Siz bir meleksiniz...,1.0
Felsefe,lise,4.7,4,4.5,5,5,5,Felsefe anlatımı konusunda üzerine söylenecek söz yoktur. Çeşitli ders materyallerini bolca kullanır ama konu akıllı tahtalara gelince ortadan ikiye ayrılsa bile imaj atarak sorunu çözebilir.,1.0
Matematik,lise,1.9,2,2,1.5,2,2,Zaytisgelt derdi RahmetLee Allah sahbet eylesin mekanik center olsun.,0.0
Bilişim Teknolojileri,lise,5.0,5,5,5,5,5,"Çok iyi hocadır, bilgilidir.",1.0
Almanca,lise,4.2,3,3,5,5,5,TOLL LEHRERİN SUPER.,1.0
Almanca,lise,4.2,3,3,5,5,5,Almanca çok zor.,1.0
Türk Dili ve Edebiyatı,lise,4.6,3,5,5,5,5,Sınavlar zor.,1.0
Türk Dili ve Edebiyatı,lise,4.6,3,5,5,5,5,Çok iyi bir hoca.,1.0
Matematik,lise,2.6,2,3,1,2,5,İyi.,
İngilizce,lise,5.0,5,5,5,5,5,"Çok iyi, çok zeki, çok güzel, tecrübeli, eğlenceli, harika bir öğretmen.",1.0
İngilizce,lise,4.9,5,5,5,4.5,5,en sevdiğimiz hocamız çokkk iyi biri çok tecrübeli güler yüzlü çok çok çok seviyoruz. <3,1.0
İngilizce,lise,5.0,5,5,5,5,5,Çok iyi bir hoca.,1.0
İngilizce,lise,4.9,5,5,5,4.5,5,Çok iyi bir hoca. Allah herkese versin.,1.0
Mühendislik Mimarlık Fakültesi,üniversite,3.7,2,5,5,3.5,3,"Ders anlatımı net, düzenli ve anlaşılırdır. Dersinde notunu alan, sorusunu çözen rahatça dersini verebilir. Ama hocamız bazen öğrencilerin sorularını saçma bulup sinirlenebiliyor. O yüzden sorularınıza dikkat etmenizi öneririm.",1.0
Mühendislik Mimarlık Fakültesi,üniversite,3.5,2.5,3.5,3.5,3,5,"Çok sakin ders anlatan ve bilgili hocalarımızdan birisidir. Çok fazla arkasından elestirildiğini duyduğum halde hocamızın gayet iyi ve anlaşılır bir şekilde dersini anlattığını net bir şekilde söyleyebilirim, dersini alan öğrencilere yardımcı olan bir hocamızdır. Yalnız Teknik İngilizce dersi çok geç bitiyor.",
Mühendislik Mimarlık Fakültesi,üniversite,3.8,5,5,2,4,3,"Dersini iyi anlatan, konusunda uzman ve başarılı bir hocamızdır kendisi. Malzeme dersinden geçmek kolaydır. Ama pek dakik olduğunu söyleyemiyorum.",1.0
Mühendislik Mimarlık Fakültesi,üniversite,3.93,4,4,3.67,3.67,4.33,"Kendisinden MMG alan öğrencileri kampüste Makine Mühendisliği adına faydalı olacak faaliyetlerde bulundurmuş, bilgin, sıcakkanlı, öğrenci dostu ve daha pek çok özelliğe sahip hocamız. Sadece teorik değil uygulama da yaptırdığı için dersinin çok verimli geçtiğini düşünüyorum.",1.0
Mühendislik Mimarlık Fakültesi,üniversite,2.33,1.67,2.33,3.67,2,2,"Bölüm başkanımız ve verdiği bir dersi olan Calculus'u ile ünlü değerli bir hocamızdır. Kendisi çok düzenli, dakik ve işini seven bir insandır. Dersi kaçırmayan, iyi dinleyen, işini bilen öğrenci iyi bir harf notuyla dersi verir. Bunları yapmayanlar ise hocaya karşı kötü duygular ile dolar.",0.0
Fizik,lise,5.0,5,5,5,5,5,Çok iyi bir hoca olduğunuz için teşekkürler.,1.0
Mühendislik Mimarlık Fakültesi,üniversite,5.0,5,5,5,5,5,"Hayatınızda görüp görebileceğiniz en güzel yürekli, en tatlı, en çalışkan, en naif hocadır. ♥️ Tüm öğrencileri evlattır onun için, öyle değer verir, ilgilenir ve sahip çıkar. Hiç yorulmuyor gibi sonsuz bir enerji ve sabır ile tüm öğrencilerinin manevî annesi haline gelir... İyi ki var hayatımızda ♥️",1.0
Beden Eğitimi,lise,1.0,1,1,1,1,1,Kendisinden yıllar önce ders aldım.,0.0
Mühendislik Fakültesi,üniversite,4.36,3.63,4.49,4.65,4.41,4.63,Great teacher in nuclear physics and in digital electronic too. I have taken both of them. I advise everyone to take them. We have learnt a lot of things. Thank you so much. We really appreciate your efforts with us.,1.0
Mühendislik Fakültesi,üniversite,3.4,2,3,5,5,2,Hocam size aşırı bir hayranlık ve saygı duymakla birlikte ısıya karşı hiçbir hayranlığım ve sevgim yok. Saygılar.,
Kimya,lise,3.3,2.5,3,3.5,3,4.5,Hocam mükemmelsiniz.,
Biyoloji,lise,4.6,4,4,5,5,5,"BİSMİLLAHİRAHMANİRHARİM. Sen, arkadaki oğlum, tahtaya kalk. Aferin şimdi bi kız kaldır. Gönüllü bir erkek arıyorum. SEN GÖNÜLLÜSÜN. Kapıyı açın, içeri tuvalet kokusu gelsin. Camları aç, toprak nefes alamıyor. Sil o anlamsız tetratı. Sen ortada oturan, kalk tahtaya, özellikleri saymaya başla. Tamam, şimdi bir kız.",1.0
Fizik,lise,1.6,2,1.5,1.5,2,1,"Dinle, dinle, sonra yazarsın. Dinle, buraya bak, bekle bekle, şimdi bu tanecikler birbirlerine yumruk atıyor. Ne yapıyormuş? Yumruk atıyormuş. Sonra yangın tüpleri var. Oralarda kullanılıyor bu gazlar ama bundan sonrası matematik. Tabi sizin matematiğiniz kötü olduğu için bu kımı yapmanız zor ama deefter.",0.0
Almanca,lise,4.84,4.8,4.8,4.8,4.8,5,Almanca dersini çok iyi anlatıyor. Dersini sevdiren bir öğretmen. Aşırı tatlı ve sevecen. <3,1.0
Coğrafya,lise,4.65,3.75,5,4.75,4.75,5,İyi bir öğremen. Dersi çok güzel anlatıyor. Bence en iyi coğrafya öğretmeni. En kafa dengi öğretmenlerimizden. Çoook tatlı ve çoook iyi. <3,1.0
Coğrafya,lise,4.65,3.75,5,4.75,4.75,5,"Dışardan sert görünse de çok tatlı ve sıcakkanlı. Ön yargıyla yaklaşmayın, göreceksiniz. Dersi de çok güzel ve anlaşılır anlatıyor. <3<3<3 
Not: Hocam bunu görüyorsanız seviliyorsunuz...",1.0
Almanca,lise,4.84,4.8,4.8,4.8,4.8,5,Almanca'yı en anlaşılır şekilde anlatıyor ve çok tatlı bir öğretmen. <3<3,1.0
Almanca,lise,4.84,4.8,4.8,4.8,4.8,5,Hayatımda gördüğüm en tatlı hoca. Size dersi sevdiriyor ve mükemmel birisi.,1.0
Coğrafya,lise,4.65,3.75,5,4.75,4.75,5,Hem çok tatlı hem de çok iyi ders anlatıyor.,1.0
Matematik,lise,3.3,3,3.5,4,3,3,Mükemmel bir matematik hocası.,
İngilizce Hazırlık Bölümü,üniversite,4.47,3.63,4.5,4.63,4.71,4.88,"Ders anlatımı, akışı ve dersin verimliliği oldukça iyi. Ders içerisinde öğrencileri sıkmıyor ve anlaşılabilirlik açısından sıkıntı yaşamıyoruz. Donanımlı bir hoca.",1.0
Matematik,lise,5.0,5,5,5,5,5,"Tam 20 sene oldu Akıncı Lise'den mezun olalı, eğitim hayatımdan hafızalarımda yer eden yegane, çok değerli hocam. Öğrencilere farklı yaklaşan, sevecen -bu durumu öğrencilerin suistimal edip saygısızlık etmeyi asla düşünmediği herşeyin en güzelini hakeden hocam. Herşey gönlünüzce olsun.",1.0
Yabancı Diller Yüksekokulu,üniversite,3.4,5,1,1,5,5,Londra hikayeleri çok sıkıcı ama Fransızca konuşunca derste ağzınıza düşecez hocam ya.,
Türk Dili ve Edebiyatı,lise,4.6,3,5,5,5,5,"Dersleri asla sıkıcı geçmeyen, öğrencileriyle samimi bir iletişimi olan ve onlara bir şeyler katma çabasında olan hocamız, iyi ki var. Kazandığı kalpler ona yeter. Rabbim hayırlarını artırsın.",1.0
Matematik,lise,4.6,3,5,5,5,5,Sen bir meleksin.,1.0
İngilizce,lise,5.0,5,5,5,5,5,Tanıdığım en etkili İngilizce öğretmeni.,1.0
Eğitim Fakültesi,üniversite,2.8,3,4,2,2,3,Öğretmenliğe bakış açımı şekillendirmedeki katkılarını ömrüm boyunca unutabileceğimi sanmıyorum. Teşekkürler.,
Eğitim Fakültesi,üniversite,5.0,5,5,5,5,5,"İlk akademik çalışmalarımı yapmamda oldukça cesaretlendirici rolü oldu. Hep güler yüzlü ve yardımsever kişiliğinin yanı sıra, ders anlatımındaki sadelik de oldukça değerliydi. Teşekkürler Kürşat hocam.",1.0
İngilizce,lise,5.0,5,5,5,5,5,Dünyanın en iyi kalpli insanı.,1.0
İngilizce,lise,5.0,5,5,5,5,5,Beton yetmez.,1.0
İngilizce,lise,1.0,1,1,1,1,1,We don't şuur.,0.0
Eğitim Fakültesi,üniversite,4.2,3,5,5,3,5,"Bir insanın anlatımı ancak bu kadar net ve anlaşılır olur, nokta.",1.0
Eğitim Fakültesi,üniversite,4.2,3,5,5,3,5,Tez yazım aşamasında donanımlı olmak ve nicel analiz yapabilmek istiyorsanız kesinlikle Nihat Hoca'nın dersini almalısınız. Akademik başarınıza katkısı çok olacaktır.,1.0
Yabancı Diller Yüksekokulu,üniversite,4.6,3,5,5,5,5,"Akademik derslerin yanı sıra hayat dersleriyle dolu bir sunumu var. Örnek alınası bir öğretici. Şu anda Eğitim Fakültesi, Eğitim Bilimleri Bölümünde.",1.0
Fen Edebiyat Fakültesi,üniversite,1.8,5,1,1,1,1,Orta Sakarya Vadisi'nin gülü.,0.0
Fen Edebiyat Fakültesi,üniversite,3.5,2.5,3,3,5,4,"He de ikigözüm. 
Herşey bi kar tanesiyle başladı.
Makale makinası maşallah her dönem bir makale.",
Türk Dili ve Edebiyatı,lise,5.0,5,5,5,5,5,Sevdiğimiz hocamızdı. Saygılar.,1.0
Hukuk Fakültesi,üniversite,4.31,3.39,4.63,4.56,4.45,4.52,"Yaz okulunda kamu maliyesi dersi almistim ve çoğu cikmaz dedigi yeri sormuş ve cogu kisiyi 1 puan ile bırakmıştı ve ders anlatirken sadece slayt okur ve slayti da vermez, fotoğraf cekin der. Burasi cikmaz diyip soru sorar. Dersi akicidir. Arada şakalar yapar.",1.0
Matematik,lise,4.2,3,5,5,3,5,"Hayatımda tanıdığım en iyi hocaların başında gelir. Her türlü muhabbetin saracağı, kafa dengi bir hoca. Burada size puan vermek ne haddime. Eğer google'da kendinizi aratırsınız ve bu yazıyla karşılaşırsınız diye yazıyorum. Kazım Çiçek, size sesleniyorum. Sizi tanıdığıma aşırı memnunun. Teşekkür ederim.",1.0
Felsefe,lise,2.4,1,3,3,1,4,Yorum yok.,0.0
Fizik,lise,1.0,1,1,1,1,1,Kendisi hoş bir insan değil. Rütbe artınca bozdu. Hazırmış demek.,0.0
Türk Dili ve Edebiyatı,lise,4.8,4,5,5,5,5,"Kendisi etrafa sürekli pozitif enerji saçan bir öğretmenimizdir. Ondan hiç negatif bir şey işitmezsiniz ve kalbi çok saftır, asla kötülük içermez. Birşey yapmadan böyle hayran bırakan bir öğretmenin dersi sıkıcı ve boş geçer mi? (Ayrıca öğretmenin hafızası 10 ciltlik kitap gibi tükenmek bilmiyor sanki)",1.0
İngilizce Hazırlık Bölümü,üniversite,4.47,3.63,4.5,4.63,4.71,4.88,"Ders anlatımı, çabası ve bununla gelen sürekli kattıkları.. Çok sevdiğim bir hocamdır. Özellikle telaffuzlarıyla İngilizce'yi sevmeme yardımcı olmuştur. İyi ki de olmuştur.",1.0
Matematik,lise,5.0,5,5,5,5,5,Teşekkürler Metin hocam. Bu sene sizin sayenizde matematiğim çok daha gelişti. Sizi öğretmenlik alanında  kutlarım.,1.0
Kimya,lise,1.5,2,1.5,2,1,1,"Ego sahibi, kibirli, kendini zeki zanneden bir insandır. Eğitim anlamında kimya adına 1-2 şey öğrenirsiniz belki ama öğretim adına ciddi zaafiyetleri vardır.",0.0
İngilizce,lise,3.6,1,4,4,4,5,Efsane bir hoca.,1.0
Tarih,lise,4.87,4.33,5,5,5,5,Özlenilen öğretmenlerden.,1.0
Tarih,lise,4.87,4.33,5,5,5,5,Adam gibi adam.,1.0
Tarih,lise,4.87,4.33,5,5,5,5,"Lise hayatımdaki en sevdiğim, en saygı duyduğum hocalarımdandır. Adamsınız. :)",1.0
Resim,lise,5.0,5,5,5,5,5,"Dünyanın en şeker, en tatlı, en en en ponçik öğretmeni. Sanat tarihi dersimize girmesiyle dersi sevdirdi ve üniversitede sanat tarihi okumaktayım. Gülümsemesi bile gününüzün güzel geçmesine sebep. Nur Taşlıçuk",1.0
İngilizce,lise,5.0,5,5,5,5,5,"Öyle severim ki Cenk Hoca'yı, adeta bir baba gibidir. Hayatta unutulmayacak bir insandır kendisi. Derse gelmediği gün olduysa eğer ki sadece bir gün hatırlıyorum onda da boş yapmak yerine ders çalışmışlığımız vardır. Muazzam insan, ilgili bir hoca. Benim için bir hocadan daha fazla, babadır. Nur Taşlıçuk",1.0
Mühendislik Mimarlık Fakültesi,üniversite,1.4,3,1,1,1,1,Hayatımda gördüğüm eğitim alanında en başarısız hocadır kendileri. Dersi sıkıcı ve verimsiz geçer. Sınavları zor değil ama derse gelmek bile işkenceye dönüşüyor.,0.0
Felsefe,lise,3.8,3,4,4,4,4,"Kıymetli Seher Hocam psikoloji okumaya başlamama vesile oldu. İlk kez farkındalık kelimesini hocamın ağzından duydum. Şimdi elinde farkındalık ve kabullenme temelli terapiler kitabı olan bir ACT Terapistiyim.
Kıymetli Seher Hocam, öğretmenlik ışığınız daim olsun. Sevgilerimle ve hürmetle...",1.0
Kimya,lise,4.6,3,5,5,5,5,Reyhan hocam bu zamana kadar gördüğüm en iyi hocalardan biri. Ders anlatımından kişiliğine kadar çok iyi bir kişi. Bana kattığı şeylerden ötürü hocama çok teşekkür ediyorum.,1.0
Fizik,lise,1.0,1,1,1,1,1,"Hocam Eyüp Otakcılar Lisesi'nden öğrencinizdim ve sayeniz de Fizik dersini çok sevmiştim. Size hayranlığım hala aynı. 2 üniversite okudum. Sizden öğrendiğim fizikle, Yıldız Teknik Üniversitesi fizik sınav notuma arkadaşlarım hayran kalmıştı ve bende sizi anlatmıştım. Ece GÜLGEN",0.0
Matematik,lise,4.0,2,5,5,3,5,"Adam gibi adam, gerçek matematiğe hoşgeldiniz ibaresi ile bizi büyülüyor ve ufkumuzu açıyor. Müsteşarla olan samimi anısını dinlemeyen çok şey kaybeder. Tanıdığım en zeki matematikçilerden birisi. Parti kursun, oy verelim. Ayrancı Sizi Çok Seviyor <3",1.0
Fen Edebiyat Fakültesi,üniversite,3.8,3,3,3,5,5,"Çok hanımefendi ve iyi, yardımsever bir hoca. Okul adına iyi bir kazanım.",1.0
Fen Edebiyat Fakültesi,üniversite,2.5,3,2,2,2.5,3,"Kendini bilime vermiş, idealist bir hoca. Yoklama almaz ama buna çok önem verir. İyi bir hoca ve iyi bir insan. Moduna girerseniz derste de faydalı olur.",
Fen Edebiyat Fakültesi,üniversite,3.4,1,3,3,5,5,"Altın kalpli, çok iyi bir hoca. Yıldız'a gitti. Okul için çok gerekliydi aslında. Sınavları zordur ama iyi niyetli ve çok kişilikli bir hocadır.",
Fen Fakültesi,üniversite,5.0,5,5,5,5,5,Gelmiş geçmiş en iyi fizikçilerden.,1.0
Resim,lise,4.6,3,5,5,5,5,Yorum yok.,1.0
Biyoloji,lise,5.0,5,5,5,5,5,"Çok takdir ediyorum. Başarılarının devamını diliyorum en içtenliğimle. Kendisine sonsuz sevgiler diliyorum.

hi-selam@outlook.com",1.0
Müzik,lise,5.0,5,5,5,5,5,Adam gibi adamdır. Mükemmeldir.,1.0
Kimya,lise,2.87,1.33,3.33,3.67,2.33,3.67,Dakiklik diye bir ölçüt olsaydı 5 verirdik. Kendisinin Alman olmasından şüpheleniyoruz. Disiplin göbek adıdır.,
Tarih,lise,5.0,5,5,5,5,5,Adam gibi adamdır.,1.0
Din Kültürü ve Ahlak Bilgisi,lise,3.6,4.5,3.5,2.5,3.5,4,Esprileri mükemmeldir.,1.0
Türk Dili ve Edebiyatı,lise,4.6,5,5,3,5,5,Mükemmel.,1.0
Fizik,lise,4.2,1,5,5,5,5,Esen fizikten ders işler ama sınavlarına Musa Özdemir girse yapamaz.,1.0
Fizik,lise,3.4,4,3,1,5,4,Kendisi aslında çok iyi bir hocadır ama yaptığı soğuk esprilerden dolayı bazı öğrenciler tarafından antipati kazanmıştır. Ayrıca Dr. Bülent GÜL olması lazım.,
Matematik,lise,3.73,1.33,5,5,3,4.33,Çok iyi bir hocadır. Kendisini çok severiz. Kraldır.,1.0
Kimya,lise,5.0,5,5,5,5,5,Kendisi 10 numara 5 yıldız bir adamdır. Hayatımda tanıdığım en mükemmel hocadan ziyade en mükemmel insanlardan biridir. Onu sevmeyen öğrenci yoktur. Kendisini çok sever ve selamlarız.,1.0
Matematik,lise,2.13,1.67,2,2.33,1.67,3,"Kendisi çok iyi bir insandır. Çok yardımseverdir. Fakat ders anlatışında konuyu dağıtması, arada bize kızması ve tevhidi tedrisatı uygulaması hoş karşılanmıyor. Ayrıca sınavlarda hiç puan vermez.",0.0
Biyoloji,lise,4.0,4,2,4,5,5,Kendisi sevdiğimiz bir hocamızdır. Akademik hayatı gayet başarılıdır. Kendisi adam gibi adamdır.,1.0
İngilizce,lise,5.0,5,5,5,5,5,"Dünyada gördüğüm en iyi, en güzel, en unique hocamsınız. 31-12-2018 (yılbaşı günü) 
DOĞUKAN GENÇ
YASİN AYKÜL",1.0
Meslek Yüksekokulu,üniversite,1.0,1,1,1,1,1,Çok yapmacık ve itici bir kadın. Yıllardır nesillerin ömrünü çürüttü böyle. Kendini bir şey sanıyor. Asla sevemeyeceğim insanlardan bir tanesi.,0.0
Hukuk Fakültesi,üniversite,4.31,3.39,4.63,4.56,4.45,4.52,Gerçekten bölümle ilgili bilgimiz olmasa da bize anlatımıyla daha önce görmediğimiz ders konusunda başarılı olmamızı sağlamıştır. Sadece ders videolarını dinleyip dersi anlayabilmemizi sağladığı için teşekkürler.,1.0
Müzik,lise,5.0,5,5,5,5,5,Yorum yok.,1.0
İngilizce Hazırlık Bölümü,üniversite,4.47,3.63,4.5,4.63,4.71,4.88,"Başar Hoca'dan çok memnunum. Gerek dersi anlatışı, gerekse bilgisini aktarması, her şey çok keyifli ve güzel. Sayesinde İngilizce dersini sevdim. Umarım bahar döneminde de ondan ders alma şansım olur.",1.0
Mühendislik ve Mimarlık Fakültesi,üniversite,3.48,2.63,4,3.75,3.5,3.5,"Hoca çok ukala ve egoist. Hava atıp duruyor, öğrencilere değer vermiyor. Soru sorunca ""neden yardım edeyim?"" diyor. Sınavlarda anlatmadığı yerleri soruyor. Problemli galiba biraz. Bilgisi de yok gibi gözüküyor.",
Almanca,lise,5.0,5,5,5,5,5,Keşke daha çok gezi olsa da siz götürseniz. Ich möchte ausflug.,1.0
İngilizce,lise,3.0,3,3,3,3,3,Profiterollerle dolu bir dünya dileği ile eğer ben de Bürkan'sam.,
Yabancı Diller Yüksekokulu,üniversite,3.4,3,3.5,3,3.5,4,"Fransızca'yı sevmemi sağlayan ve klasik bir ders anlatımından çok, kısa zamanda iyi öğreten yani verimli ders işleyen bir hoca. Teşekkür ederim çok.",
İngilizce Hazırlık Bölümü,üniversite,4.47,3.63,4.5,4.63,4.71,4.88,Sebepsiz laf sokma çabalarında olmasa çok iyi bir öğretmen ❤️,1.0
İngilizce Hazırlık Bölümü,üniversite,4.47,3.63,4.5,4.63,4.71,4.88,Başar ılı. Eheheheh.,1.0
İngilizce Hazırlık Bölümü,üniversite,4.47,3.63,4.5,4.63,4.71,4.88,Öğretmenimiz hepimizle ayrı ayrı alakadar oluyor. Eksiklerimiz varsa tamamlamamıza yardımcı oluyor. Hocamızdan oldukça memnunuz.,1.0
İngilizce Hazırlık Bölümü,üniversite,4.47,3.63,4.5,4.63,4.71,4.88,Yorum yok.,1.0
Almanca,lise,1.0,1,1,1,1,1,"50 yaşına gelmiş, tahminimce yaşı dolayısıyla ders anlatımı zayıflamış, sinirleri bozuk bir hoca. Kendisini seven bir öğrenciye henüz rastlamadım. Derslerinde öğrencilerin rezil olma korkusundan, sorulara kimse el kaldırmaz, olası bir yanlış cevapta kafanıza kitap, tebeşir yiyip kovulabilirsiniz.Tehlikeli.",0.0
Matematik,lise,2.13,1.67,2,2.33,1.67,3,Yorum yok.,0.0
Kimya,lise,4.4,3,5,5,4,5,"Her dersinden keyif aldığım, mesleğini tutkuyla yapan ve her yönüyle örnek bir öğretmendir. Hakkını ödeyemem. Mükemmel insan.",1.0
Felsefe,lise,4.5,3,5,5,4.5,5,"Öğrencileri tarafından sevilen, sempatik, esprili ve bunun yanı sıra kurallara önem veren efsanevi öğretmendir, öğretmenimizdir.",1.0
Biyoloji,lise,5.0,5,5,5,5,5,Allah rahmet etsin.,1.0
Matematik,lise,4.4,4,5,5,3,5,Dünyanın en iyi kalpli öğretmeni.,1.0
